,Timestamp,course_enrolled,openhouse,instantdecisionday,onCampusInfoSession,virtualInfoSession,womenWhoDare,regionalCollegeFair,HS_Sharetime,challenger,CSIPPP,HSInfoSession,HSCampusVisit,IndivCampusVisit,workforceDev,corporateTraining,teenArtsFest,CCMSummerCamp,hourOfCode,computingClass_HS,computerClub_HS,computerComp,degree_program,Gender,race,Age
77,2022/10/05 11:41:49 AM EST,CMP 128 Computer Science I,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,Undecided,Man,White/Caucasian,18 and younger
78,2022/10/05 11:42:03 AM EST,CMP 128 Computer Science I,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,dont have one,Man,Asian,18 and younger
79,2022/10/05 11:43:02 AM EST,CMP 128 Computer Science I,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,Share time engineering,Man,White/Caucasian,18 and younger
80,2022/10/05 11:43:16 AM EST,CMP 128 Computer Science I,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Highschool dual enrollment program,Man,Hispanic or Latino,18 and younger
81,2022/10/05 11:43:19 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Engineering Design and Manufacturing (Time Share),Man,Multi-racial,18 and younger
82,2022/10/05 11:48:04 AM EST,CMP 128 Computer Science I,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,,didn't send professor screenshot,Man,Choose not to reply,18 and younger
83,2022/10/05 11:48:37 AM EST,CMP 128 Computer Science I,No,No,No,Not Sure,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,High Impact,No Impact,No Impact,Computer Science,I do not identify,Multi-racial,18 and younger
84,2022/10/05 6:36:24 PM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,High Impact,Computer Science,Man,Asian,21-24
85,2022/10/05 11:05:46 PM EST,CMP 128 Computer Science I,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Computer Science,Man,White/Caucasian,21-24
86,2022/10/06 10:11:16 AM EST,CMP 239 Internet & Web Page Design,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,Digital Media Technology,Man,Hispanic or Latino,19-20
87,2022/10/06 10:12:05 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,Computer Science,Man,Multi-racial,18 and younger
88,2022/10/06 10:13:01 AM EST,CMP 239 Internet & Web Page Design,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,High Impact,Information Technology,Man,Hispanic or Latino,18 and younger
89,2022/10/06 10:13:11 AM EST,CMP 239 Internet & Web Page Design,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,Business and Marketing ,Woman,Multi-racial,18 and younger
90,2022/10/06 10:13:32 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Digital Media Technology,Man,White/Caucasian,21-24
91,2022/10/06 10:14:08 AM EST,CMP 239 Internet & Web Page Design,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Some Impact,Some Impact,No Impact,Information Technology,Woman,Hispanic or Latino,19-20
92,2022/10/06 10:14:36 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Web Development Certificate of Achievement,Woman,Multi-racial,18 and younger
93,2022/10/06 10:15:07 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,,,Information Technology,Man,White/Caucasian,21-24
94,2022/10/06 10:16:04 AM EST,CMP 239 Internet & Web Page Design,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Some Impact,No Impact,Some Impact,Digital Media Technology,Woman,White/Caucasian,19-20
95,2022/10/06 10:16:51 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,No Impact,Business Professional,Man,Asian,19-20
96,2022/10/06 10:17:41 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Information Technology,Man,Asian,19-20
97,2022/10/06 10:19:04 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Information Technology,Man,Asian,21-24
98,2022/10/06 10:19:59 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,Some Impact,Computer Science,Man,Asian,19-20
99,2022/10/06 10:52:04 AM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Information Technology,Prefer not to say,Choose not to reply,35-64
100,2022/10/07 10:53:27 PM EST,CMP 128 Computer Science I,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,biology,Woman,White/Caucasian,18 and younger
101,2022/10/10 2:28:44 PM EST,CMP 239 Internet & Web Page Design,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Non Degree seeking,Woman,White/Caucasian,35-64
102,2022/10/13 11:57:18 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,ShareTime CSIP Program,Woman,Hispanic or Latino,18 and younger
