Timestamp,course_enrolled,openhouse,instantdecisionday,onCampusInfoSession,virtualInfoSession,womenWhoDare,regionalCollegeFair,HS_Sharetime,challenger,CSIPPP,HSInfoSession,HSCampusVisit,IndivCampusVisit,workforceDev,corporateTraining,teenArtsFest,CCMSummerCamp,hourOfCode,computingClass_HS,computerClub_HS,computerComp,degree_program,Gender,race,Age 
2022/10/05 8:37:48 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Some Impact,Some Impact,No Impact,Computer Science,Man,White/Caucasian,19-20
2022/10/05 8:37:51 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Computer Science,Man,Hispanic or Latino,19-20
2022/10/05 8:38:11 AM EST,CMP 128 Computer Science I,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,High Impact,,,Computer Science,Woman,Hispanic or Latino,19-20
2022/10/05 8:38:11 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Computer Science,Man,Asian,18 and younger
2022/10/05 8:38:31 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,High Impact,CIS Game Development Option,Woman,Multi-racial,19-20
2022/10/05 8:38:44 AM EST,CMP 128 Computer Science I,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,Some Impact,"Technical Studies, Applied Associate of Science",Man,White/Caucasian,19-20
2022/10/05 8:38:52 AM EST,CMP 128 Computer Science I,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,Some Impact,Computer Science,Man,Hispanic or Latino,19-20
2022/10/05 8:39:16 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,High Impact,Some Impact,No Impact,Computer Science,Man,White/Caucasian,18 and younger
2022/10/05 8:39:22 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Changed to Business ,Man,Hispanic or Latino,18 and younger
2022/10/05 8:39:32 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,CIS Game Development Option,Man,Multi-racial,21-24
2022/10/05 8:39:59 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,Computer Science,Man,Choose not to reply,19-20
2022/10/05 8:40:15 AM EST,CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,Mechanical engineering,Man,White/Caucasian,19-20
2022/10/05 8:40:24 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Computer Science,Man,Hispanic or Latino,21-24
2022/10/05 8:40:28 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,High Impact,No Impact,Some Impact,Computer Science,Man,White/Caucasian,19-20
2022/10/05 8:42:07 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Mechanical engineering,Man,Hispanic or Latino,19-20
2022/10/05 8:43:17 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Computer Science,Man,White/Caucasian,19-20
2022/10/05 8:45:25 AM EST,CMP 128 Computer Science I,Not Sure,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,CIS Game Development Option,Man,Multi-racial,18 and younger
2022/10/05 8:46:09 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,,,CIS Game Development Option,Man,White/Caucasian,21-24
2022/10/05 8:46:40 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Computer Science,Man,Multi-Racial,21-24
2022/10/05 8:47:24 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Mechanical engineering,Man,Hispanic or Latino,19-20
2022/10/05 8:55:47 AM EST,CMP 128 Computer Science I,No,Not Sure,Yes,Yes,Not Sure,Yes,Not Sure,No,Not Sure,No,No,Yes,Not Sure,No,Not Sure,Yes,No,No Impact,,Some Impact,Computer Science,Woman,Multi-racial,18 and younger
2022/10/05 9:12:02 AM EST,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Not Sure,Some Impact,No Impact,No Impact,CIS Game Development Option,Man,White/Caucasian,18 and younger
